sales_order_number,order_date,channel,customer_number,payment_method,product_number,product_name,variant_size,variant_color,quantity,unit_price,net_revenue,unit_cost
AB-2026-11578,2026-02-27,Eigener Shop,K-17295,Rechnungskauf,JOG-CL-XL-OLI,Jogger Classic,XL,Oliv,1,64.9,64.9,19.5
AB-2026-11578,2026-02-27,Eigener Shop,K-17295,Rechnungskauf,HOOD-ZP-XL-NAV,Zip-Hoodie Heavy,XL,Navy,1,89.9,89.9,28.0
AB-2026-11579,2026-01-07,Eigener Shop,K-16000,Vorkasse,SOCK-3P-S-NAV,Sneaker Socken 3er-Pack,S,Navy,1,19.9,19.9,4.8
AB-2026-11579,2026-01-07,Eigener Shop,K-16000,Vorkasse,HOOD-ZP-XS-SCH,Zip-Hoodie Heavy,XS,Schwarz,1,89.9,89.9,28.0
AB-2026-11580,2026-01-03,Eigener Shop,K-17051,PayPal,HOOD-ZP-L-OLI,Zip-Hoodie Heavy,L,Oliv,1,89.9,89.9,28.0
AB-2026-11581,2026-05-26,Eigener Shop,K-15642,PayPal,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,89.9,89.9,28.0
AB-2026-11582,2026-01-12,Eigener Shop,K-15857,Vorkasse,TEE-BAS-M-SCH,T-Shirt Basic,M,Schwarz,1,29.9,29.9,7.5
AB-2026-11583,2026-06-04,Eigener Shop,K-15039,Vorkasse,TEE-BAS-XS-SCH,T-Shirt Basic,XS,Schwarz,1,29.9,29.9,7.5
AB-2026-11584,2026-06-13,Eigener Shop,K-16218,Kreditkarte,TEE-BAS-M-WEI,T-Shirt Basic,M,Weiss,1,29.9,29.9,7.5
AB-2026-11584,2026-06-13,Eigener Shop,K-16218,Kreditkarte,SOCK-3P-XS-OLI,Sneaker Socken 3er-Pack,XS,Oliv,1,19.9,19.9,4.8
AB-2026-11585,2026-02-19,Zalando,K-12227,Rechnungskauf,SOCK-3P-XL-SCH,Sneaker Socken 3er-Pack,XL,Schwarz,1,19.9,19.9,4.8
AB-2026-11585,2026-02-19,Zalando,K-12227,Rechnungskauf,KLEID-PR-XL-WEI,Sommerkleid Print,XL,Weiss,1,79.9,79.9,24.0
AB-2026-11586,2026-06-08,Zalando,K-14594,PayPal,HOOD-ZP-L-OLI,Zip-Hoodie Heavy,L,Oliv,1,89.9,89.9,28.0
AB-2026-11587,2026-04-26,Eigener Shop,K-18883,Rechnungskauf,TEE-OVS-L-NAV,T-Shirt Oversized,L,Navy,1,34.9,34.9,9.0
AB-2026-11588,2026-04-24,Amazon,K-15089,PayPal,HOOD-ZP-XS-NAV,Zip-Hoodie Heavy,XS,Navy,1,89.9,89.9,28.0
AB-2026-11588,2026-04-24,Amazon,K-15089,PayPal,SOCK-3P-M-OLI,Sneaker Socken 3er-Pack,M,Oliv,1,19.9,19.9,4.8
AB-2026-11589,2026-02-26,Eigener Shop,K-10158,Rechnungskauf,TEE-BAS-XS-SCH,T-Shirt Basic,XS,Schwarz,1,29.9,29.9,7.5
AB-2026-11589,2026-02-26,Eigener Shop,K-10158,Rechnungskauf,HOOD-CL-M-NAV,Hoodie Classic,M,Navy,1,69.9,69.9,21.0
AB-2026-11590,2026-03-28,Eigener Shop,K-14425,Vorkasse,HOOD-CL-S-WEI,Hoodie Classic,S,Weiss,1,69.9,69.9,21.0
AB-2026-11591,2026-02-03,Amazon,K-12609,PayPal,HOOD-ZP-XS-WEI,Zip-Hoodie Heavy,XS,Weiss,1,89.9,89.9,28.0
AB-2026-11592,2026-06-10,Amazon,K-11539,PayPal,TEE-BAS-L-WEI,T-Shirt Basic,L,Weiss,1,29.9,29.9,7.5
AB-2026-11593,2026-02-10,Eigener Shop,K-19868,PayPal,CAP-LG-L-WEI,Cap Logo,L,Weiss,1,24.9,24.9,6.0
AB-2026-11593,2026-02-10,Eigener Shop,K-19868,PayPal,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,79.9,79.9,24.0
AB-2026-11594,2026-01-08,Amazon,K-10318,Rechnungskauf,JOG-CL-L-NAV,Jogger Classic,L,Navy,1,64.9,64.9,19.5
AB-2026-11595,2026-02-05,Amazon,K-13685,Kreditkarte,HOOD-CL-L-SCH,Hoodie Classic,L,Schwarz,1,69.9,69.9,21.0
AB-2026-11596,2026-01-20,Amazon,K-17756,Kreditkarte,JOG-CL-S-SCH,Jogger Classic,S,Schwarz,1,64.9,64.9,19.5
AB-2026-11596,2026-01-20,Amazon,K-17756,Kreditkarte,SOCK-3P-XL-WEI,Sneaker Socken 3er-Pack,XL,Weiss,1,19.9,19.9,4.8
AB-2026-11597,2026-03-24,Eigener Shop,K-17277,Rechnungskauf,TEE-BAS-L-NAV,T-Shirt Basic,L,Navy,1,29.9,29.9,7.5
AB-2026-11598,2026-02-12,Zalando,K-17895,Kreditkarte,TEE-OVS-XS-WEI,T-Shirt Oversized,XS,Weiss,1,34.9,34.9,9.0
AB-2026-11599,2026-03-31,Zalando,K-15659,PayPal,SOCK-3P-L-SCH,Sneaker Socken 3er-Pack,L,Schwarz,1,19.9,19.9,4.8
AB-2026-11600,2026-02-01,Eigener Shop,K-10337,PayPal,HOOD-CL-XS-SCH,Hoodie Classic,XS,Schwarz,1,69.9,69.9,21.0
AB-2026-11601,2026-03-17,Amazon,K-15060,PayPal,HOOD-ZP-M-NAV,Zip-Hoodie Heavy,M,Navy,1,89.9,89.9,28.0
AB-2026-11601,2026-03-17,Amazon,K-15060,PayPal,KLEID-PR-M-SCH,Sommerkleid Print,M,Schwarz,1,79.9,79.9,24.0
AB-2026-11602,2026-05-25,Eigener Shop,K-13438,Kreditkarte,SOCK-3P-M-OLI,Sneaker Socken 3er-Pack,M,Oliv,1,19.9,19.9,4.8
AB-2026-11603,2026-03-08,Zalando,K-14678,PayPal,SOCK-3P-M-OLI,Sneaker Socken 3er-Pack,M,Oliv,1,19.9,19.9,4.8
AB-2026-11603,2026-03-08,Zalando,K-14678,PayPal,SOCK-3P-S-OLI,Sneaker Socken 3er-Pack,S,Oliv,1,19.9,19.9,4.8
AB-2026-11604,2026-05-19,Eigener Shop,K-12366,PayPal,TEE-OVS-S-OLI,T-Shirt Oversized,S,Oliv,1,34.9,34.9,9.0
AB-2026-11605,2026-05-05,Eigener Shop,K-16029,PayPal,TEE-OVS-M-SCH,T-Shirt Oversized,M,Schwarz,1,34.9,34.9,9.0
AB-2026-11606,2026-04-26,Eigener Shop,K-17446,PayPal,TEE-BAS-S-OLI,T-Shirt Basic,S,Oliv,1,29.9,29.9,7.5
AB-2026-11606,2026-04-26,Eigener Shop,K-17446,PayPal,SOCK-3P-M-OLI,Sneaker Socken 3er-Pack,M,Oliv,1,19.9,19.9,4.8
AB-2026-11606,2026-04-26,Eigener Shop,K-17446,PayPal,CAP-LG-XL-SCH,Cap Logo,XL,Schwarz,1,24.9,24.9,6.0
AB-2026-11607,2026-04-03,Eigener Shop,K-17306,PayPal,HOOD-CL-XL-WEI,Hoodie Classic,XL,Weiss,1,69.9,69.9,21.0
AB-2026-11607,2026-04-03,Eigener Shop,K-17306,PayPal,KLEID-PR-XL-NAV,Sommerkleid Print,XL,Navy,1,79.9,79.9,24.0
AB-2026-11607,2026-04-03,Eigener Shop,K-17306,PayPal,TEE-OVS-XS-SCH,T-Shirt Oversized,XS,Schwarz,1,34.9,34.9,9.0
AB-2026-11608,2026-02-26,Eigener Shop,K-17404,PayPal,CAP-LG-XL-SCH,Cap Logo,XL,Schwarz,1,24.9,24.9,6.0
AB-2026-11609,2026-03-14,Eigener Shop,K-14084,Kreditkarte,KLEID-PR-L-OLI,Sommerkleid Print,L,Oliv,1,79.9,79.9,24.0
AB-2026-11610,2026-06-01,Eigener Shop,K-10369,Vorkasse,CAP-LG-XS-WEI,Cap Logo,XS,Weiss,1,24.9,24.9,6.0
AB-2026-11611,2026-06-27,Eigener Shop,K-18368,Rechnungskauf,HOOD-ZP-M-WEI,Zip-Hoodie Heavy,M,Weiss,1,89.9,89.9,28.0
AB-2026-11611,2026-06-27,Eigener Shop,K-18368,Rechnungskauf,TEE-OVS-M-SCH,T-Shirt Oversized,M,Schwarz,1,34.9,34.9,9.0
AB-2026-11612,2026-01-08,Eigener Shop,K-13052,Rechnungskauf,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,79.9,79.9,24.0
AB-2026-11613,2026-04-10,Eigener Shop,K-13339,Rechnungskauf,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,19.9,19.9,4.8
AB-2026-11614,2026-03-26,Amazon,K-19508,Kreditkarte,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,19.9,19.9,4.8
AB-2026-11614,2026-03-26,Amazon,K-19508,Kreditkarte,KLEID-PR-L-SCH,Sommerkleid Print,L,Schwarz,1,79.9,79.9,24.0
AB-2026-11615,2026-01-13,Eigener Shop,K-13007,Rechnungskauf,TEE-OVS-L-NAV,T-Shirt Oversized,L,Navy,1,34.9,34.9,9.0
AB-2026-11615,2026-01-13,Eigener Shop,K-13007,Rechnungskauf,SOCK-3P-M-OLI,Sneaker Socken 3er-Pack,M,Oliv,1,19.9,19.9,4.8
AB-2026-11615,2026-01-13,Eigener Shop,K-13007,Rechnungskauf,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,34.9,34.9,9.0
AB-2026-11616,2026-06-18,Amazon,K-14230,Rechnungskauf,TEE-OVS-S-SCH,T-Shirt Oversized,S,Schwarz,1,34.9,34.9,9.0
AB-2026-11616,2026-06-18,Amazon,K-14230,Rechnungskauf,TEE-OVS-XL-SCH,T-Shirt Oversized,XL,Schwarz,1,34.9,34.9,9.0
AB-2026-11616,2026-06-18,Amazon,K-14230,Rechnungskauf,HOOD-CL-XS-OLI,Hoodie Classic,XS,Oliv,1,69.9,69.9,21.0
AB-2026-11617,2026-06-26,Eigener Shop,K-12668,Rechnungskauf,HOOD-CL-XS-NAV,Hoodie Classic,XS,Navy,1,69.9,69.9,21.0
AB-2026-11618,2026-05-02,Zalando,K-12688,PayPal,CAP-LG-M-SCH,Cap Logo,M,Schwarz,1,24.9,24.9,6.0
AB-2026-11619,2026-05-13,Eigener Shop,K-17409,PayPal,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,79.9,79.9,24.0
AB-2026-11620,2026-03-13,Eigener Shop,K-18851,Rechnungskauf,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,79.9,79.9,24.0
AB-2026-11620,2026-03-13,Eigener Shop,K-18851,Rechnungskauf,HOOD-ZP-M-SCH,Zip-Hoodie Heavy,M,Schwarz,1,89.9,89.9,28.0
AB-2026-11621,2026-06-23,Eigener Shop,K-19760,Kreditkarte,CAP-LG-XL-WEI,Cap Logo,XL,Weiss,1,24.9,24.9,6.0
AB-2026-11621,2026-06-23,Eigener Shop,K-19760,Kreditkarte,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,34.9,34.9,9.0
AB-2026-11622,2026-03-08,Amazon,K-11192,Kreditkarte,HOOD-ZP-XS-WEI,Zip-Hoodie Heavy,XS,Weiss,1,89.9,89.9,28.0
AB-2026-11623,2026-05-06,Eigener Shop,K-19948,Rechnungskauf,HOOD-CL-XS-NAV,Hoodie Classic,XS,Navy,1,69.9,69.9,21.0
AB-2026-11624,2026-01-18,Amazon,K-17896,PayPal,TEE-OVS-XL-OLI,T-Shirt Oversized,XL,Oliv,1,34.9,34.9,9.0
AB-2026-11624,2026-01-18,Amazon,K-17896,PayPal,TEE-BAS-M-SCH,T-Shirt Basic,M,Schwarz,1,29.9,29.9,7.5
AB-2026-11625,2026-02-07,Eigener Shop,K-16807,PayPal,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,19.9,19.9,4.8
AB-2026-11626,2026-04-14,Eigener Shop,K-18998,Rechnungskauf,HOOD-ZP-XL-OLI,Zip-Hoodie Heavy,XL,Oliv,1,89.9,89.9,28.0
AB-2026-11627,2026-01-29,Amazon,K-19846,PayPal,TEE-BAS-XS-NAV,T-Shirt Basic,XS,Navy,1,29.9,29.9,7.5
AB-2026-11627,2026-01-29,Amazon,K-19846,PayPal,SOCK-3P-M-SCH,Sneaker Socken 3er-Pack,M,Schwarz,1,19.9,19.9,4.8
AB-2026-11627,2026-01-29,Amazon,K-19846,PayPal,KLEID-PR-XL-SCH,Sommerkleid Print,XL,Schwarz,1,79.9,79.9,24.0
AB-2026-11628,2026-04-16,Eigener Shop,K-17486,PayPal,TEE-BAS-L-WEI,T-Shirt Basic,L,Weiss,1,29.9,29.9,7.5
AB-2026-11628,2026-04-16,Eigener Shop,K-17486,PayPal,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,19.9,19.9,4.8
AB-2026-11628,2026-04-16,Eigener Shop,K-17486,PayPal,SOCK-3P-XS-OLI,Sneaker Socken 3er-Pack,XS,Oliv,1,19.9,19.9,4.8
AB-2026-11629,2026-05-30,Eigener Shop,K-13845,PayPal,SOCK-3P-XL-WEI,Sneaker Socken 3er-Pack,XL,Weiss,1,19.9,19.9,4.8
AB-2026-11629,2026-05-30,Eigener Shop,K-13845,PayPal,SOCK-3P-L-WEI,Sneaker Socken 3er-Pack,L,Weiss,1,19.9,19.9,4.8
AB-2026-11630,2026-02-27,Eigener Shop,K-17226,PayPal,HOOD-ZP-XS-WEI,Zip-Hoodie Heavy,XS,Weiss,1,89.9,89.9,28.0
AB-2026-11631,2026-04-03,Eigener Shop,K-11695,Rechnungskauf,HOOD-CL-XS-OLI,Hoodie Classic,XS,Oliv,1,69.9,69.9,21.0
AB-2026-11632,2026-04-10,Eigener Shop,K-18686,Kreditkarte,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,19.9,19.9,4.8
AB-2026-11632,2026-04-10,Eigener Shop,K-18686,Kreditkarte,KLEID-PR-XS-NAV,Sommerkleid Print,XS,Navy,1,79.9,79.9,24.0
AB-2026-11633,2026-02-21,Eigener Shop,K-15787,Rechnungskauf,SOCK-3P-S-NAV,Sneaker Socken 3er-Pack,S,Navy,1,19.9,19.9,4.8
AB-2026-11633,2026-02-21,Eigener Shop,K-15787,Rechnungskauf,CAP-LG-XL-WEI,Cap Logo,XL,Weiss,1,24.9,24.9,6.0
AB-2026-11634,2026-05-16,Zalando,K-16318,PayPal,SOCK-3P-M-SCH,Sneaker Socken 3er-Pack,M,Schwarz,1,19.9,19.9,4.8
AB-2026-11634,2026-05-16,Zalando,K-16318,PayPal,KLEID-PR-XS-SCH,Sommerkleid Print,XS,Schwarz,1,79.9,79.9,24.0
AB-2026-11635,2026-04-02,Amazon,K-15059,Rechnungskauf,HOOD-CL-XS-SCH,Hoodie Classic,XS,Schwarz,1,69.9,69.9,21.0
AB-2026-11636,2026-04-15,Amazon,K-12554,Kreditkarte,HOOD-CL-XS-NAV,Hoodie Classic,XS,Navy,1,69.9,69.9,21.0
AB-2026-11637,2026-05-14,Amazon,K-17323,Vorkasse,JOG-CL-M-OLI,Jogger Classic,M,Oliv,1,64.9,64.9,19.5
AB-2026-11638,2026-05-31,Eigener Shop,K-15365,Rechnungskauf,TEE-BAS-L-OLI,T-Shirt Basic,L,Oliv,1,29.9,29.9,7.5
AB-2026-11639,2026-02-19,Eigener Shop,K-19595,Rechnungskauf,CAP-LG-L-WEI,Cap Logo,L,Weiss,1,24.9,24.9,6.0
AB-2026-11640,2026-01-28,Amazon,K-13203,Rechnungskauf,HOOD-ZP-L-NAV,Zip-Hoodie Heavy,L,Navy,1,89.9,89.9,28.0
AB-2026-11641,2026-06-03,Eigener Shop,K-14349,PayPal,HOOD-CL-XS-NAV,Hoodie Classic,XS,Navy,1,69.9,69.9,21.0
AB-2026-11642,2026-04-30,Eigener Shop,K-10902,Vorkasse,HOOD-ZP-M-NAV,Zip-Hoodie Heavy,M,Navy,1,89.9,89.9,28.0
AB-2026-11642,2026-04-30,Eigener Shop,K-10902,Vorkasse,HOOD-ZP-S-NAV,Zip-Hoodie Heavy,S,Navy,1,89.9,89.9,28.0
AB-2026-11643,2026-02-28,Eigener Shop,K-17109,Rechnungskauf,TEE-BAS-L-OLI,T-Shirt Basic,L,Oliv,1,29.9,29.9,7.5
AB-2026-11644,2026-05-27,Amazon,K-13570,PayPal,HOOD-CL-L-OLI,Hoodie Classic,L,Oliv,1,69.9,69.9,21.0
AB-2026-11644,2026-05-27,Amazon,K-13570,PayPal,HOOD-CL-M-OLI,Hoodie Classic,M,Oliv,1,69.9,69.9,21.0
AB-2026-11644,2026-05-27,Amazon,K-13570,PayPal,SOCK-3P-XS-NAV,Sneaker Socken 3er-Pack,XS,Navy,1,19.9,19.9,4.8
AB-2026-11644,2026-05-27,Amazon,K-13570,PayPal,SOCK-3P-M-NAV,Sneaker Socken 3er-Pack,M,Navy,1,19.9,19.9,4.8
AB-2026-11645,2026-05-06,Eigener Shop,K-16154,PayPal,SOCK-3P-XS-OLI,Sneaker Socken 3er-Pack,XS,Oliv,1,19.9,19.9,4.8
AB-2026-11646,2026-02-06,Eigener Shop,K-14394,Kreditkarte,JOG-CL-XS-NAV,Jogger Classic,XS,Navy,1,64.9,64.9,19.5
AB-2026-11647,2026-05-14,Eigener Shop,K-13748,Kreditkarte,HOOD-CL-S-SCH,Hoodie Classic,S,Schwarz,1,69.9,69.9,21.0
AB-2026-11648,2026-03-08,Eigener Shop,K-14134,PayPal,CAP-LG-M-SCH,Cap Logo,M,Schwarz,1,24.9,24.9,6.0
AB-2026-11649,2026-03-19,Amazon,K-19374,PayPal,TEE-OVS-XL-OLI,T-Shirt Oversized,XL,Oliv,1,34.9,34.9,9.0
AB-2026-11649,2026-03-19,Amazon,K-19374,PayPal,SOCK-3P-S-SCH,Sneaker Socken 3er-Pack,S,Schwarz,1,19.9,19.9,4.8
AB-2026-11649,2026-03-19,Amazon,K-19374,PayPal,TEE-OVS-M-NAV,T-Shirt Oversized,M,Navy,1,34.9,34.9,9.0
AB-2026-11650,2026-04-01,Eigener Shop,K-15831,Kreditkarte,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,64.9,64.9,19.5
AB-2026-11650,2026-04-01,Eigener Shop,K-15831,Kreditkarte,CAP-LG-L-SCH,Cap Logo,L,Schwarz,1,24.9,24.9,6.0
AB-2026-11651,2026-03-10,Zalando,K-13447,PayPal,TEE-OVS-L-WEI,T-Shirt Oversized,L,Weiss,1,34.9,34.9,9.0
AB-2026-11652,2026-06-23,Amazon,K-12932,PayPal,KLEID-PR-XL-NAV,Sommerkleid Print,XL,Navy,1,79.9,79.9,24.0
AB-2026-11653,2026-02-07,Eigener Shop,K-15821,Rechnungskauf,CAP-LG-S-OLI,Cap Logo,S,Oliv,1,24.9,24.9,6.0
AB-2026-11654,2026-04-28,Amazon,K-11310,Vorkasse,HOOD-CL-S-WEI,Hoodie Classic,S,Weiss,1,69.9,69.9,21.0
AB-2026-11654,2026-04-28,Amazon,K-11310,Vorkasse,TEE-BAS-M-WEI,T-Shirt Basic,M,Weiss,1,29.9,29.9,7.5
AB-2026-11655,2026-04-09,Amazon,K-17766,Rechnungskauf,SOCK-3P-L-OLI,Sneaker Socken 3er-Pack,L,Oliv,1,19.9,19.9,4.8
AB-2026-11656,2026-06-14,Eigener Shop,K-13421,Rechnungskauf,TEE-BAS-XL-NAV,T-Shirt Basic,XL,Navy,1,29.9,29.9,7.5
AB-2026-11656,2026-06-14,Eigener Shop,K-13421,Rechnungskauf,CAP-LG-L-SCH,Cap Logo,L,Schwarz,1,24.9,24.9,6.0
AB-2026-11657,2026-03-09,Eigener Shop,K-18372,Rechnungskauf,KLEID-PR-S-SCH,Sommerkleid Print,S,Schwarz,1,79.9,79.9,24.0
AB-2026-11658,2026-03-29,Amazon,K-11979,Vorkasse,HOOD-ZP-M-WEI,Zip-Hoodie Heavy,M,Weiss,1,89.9,89.9,28.0
AB-2026-11658,2026-03-29,Amazon,K-11979,Vorkasse,HOOD-CL-S-NAV,Hoodie Classic,S,Navy,1,69.9,69.9,21.0
AB-2026-11659,2026-06-30,Eigener Shop,K-18818,Vorkasse,JOG-CL-XS-OLI,Jogger Classic,XS,Oliv,1,64.9,64.9,19.5
AB-2026-11660,2026-02-05,Eigener Shop,K-12189,PayPal,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,34.9,34.9,9.0
AB-2026-11660,2026-02-05,Eigener Shop,K-12189,PayPal,TEE-OVS-XS-NAV,T-Shirt Oversized,XS,Navy,1,34.9,34.9,9.0
AB-2026-11660,2026-02-05,Eigener Shop,K-12189,PayPal,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,34.9,34.9,9.0
AB-2026-11660,2026-02-05,Eigener Shop,K-12189,PayPal,TEE-OVS-M-NAV,T-Shirt Oversized,M,Navy,1,34.9,34.9,9.0
AB-2026-11660,2026-02-05,Eigener Shop,K-12189,PayPal,CAP-LG-S-SCH,Cap Logo,S,Schwarz,1,24.9,24.9,6.0
AB-2026-11660,2026-02-05,Eigener Shop,K-12189,PayPal,CAP-LG-M-SCH,Cap Logo,M,Schwarz,1,24.9,24.9,6.0
AB-2026-11661,2026-01-15,Eigener Shop,K-17077,Rechnungskauf,TEE-BAS-M-OLI,T-Shirt Basic,M,Oliv,1,29.9,29.9,7.5
AB-2026-11662,2026-05-03,Amazon,K-16369,PayPal,CAP-LG-S-OLI,Cap Logo,S,Oliv,1,24.9,24.9,6.0
AB-2026-11663,2026-01-13,Zalando,K-17253,Rechnungskauf,TEE-BAS-XS-NAV,T-Shirt Basic,XS,Navy,1,29.9,29.9,7.5
AB-2026-11663,2026-01-13,Zalando,K-17253,Rechnungskauf,TEE-BAS-XS-OLI,T-Shirt Basic,XS,Oliv,1,29.9,29.9,7.5
AB-2026-11663,2026-01-13,Zalando,K-17253,Rechnungskauf,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,69.9,69.9,21.0
AB-2026-11664,2026-06-08,Amazon,K-13439,PayPal,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,34.9,34.9,9.0
AB-2026-11665,2026-03-31,Zalando,K-10442,Kreditkarte,TEE-OVS-XS-SCH,T-Shirt Oversized,XS,Schwarz,1,34.9,34.9,9.0
AB-2026-11665,2026-03-31,Zalando,K-10442,Kreditkarte,TEE-OVS-M-SCH,T-Shirt Oversized,M,Schwarz,1,34.9,34.9,9.0
AB-2026-11666,2026-02-13,Amazon,K-19146,PayPal,CAP-LG-S-NAV,Cap Logo,S,Navy,1,24.9,24.9,6.0
AB-2026-11667,2026-06-22,Eigener Shop,K-11227,Rechnungskauf,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,64.9,64.9,19.5
AB-2026-11667,2026-06-22,Eigener Shop,K-11227,Rechnungskauf,JOG-CL-XL-NAV,Jogger Classic,XL,Navy,1,64.9,64.9,19.5
AB-2026-11667,2026-06-22,Eigener Shop,K-11227,Rechnungskauf,TEE-OVS-S-WEI,T-Shirt Oversized,S,Weiss,1,34.9,34.9,9.0
AB-2026-11668,2026-01-02,Amazon,K-13337,Rechnungskauf,SOCK-3P-XS-OLI,Sneaker Socken 3er-Pack,XS,Oliv,1,19.9,19.9,4.8
AB-2026-11669,2026-03-27,Eigener Shop,K-10242,PayPal,HOOD-ZP-L-NAV,Zip-Hoodie Heavy,L,Navy,1,89.9,89.9,28.0
AB-2026-11669,2026-03-27,Eigener Shop,K-10242,PayPal,CAP-LG-XS-WEI,Cap Logo,XS,Weiss,1,24.9,24.9,6.0
AB-2026-11670,2026-03-15,Amazon,K-14240,PayPal,TEE-OVS-M-OLI,T-Shirt Oversized,M,Oliv,1,34.9,34.9,9.0
AB-2026-11671,2026-05-22,Eigener Shop,K-15936,PayPal,TEE-BAS-XS-NAV,T-Shirt Basic,XS,Navy,1,29.9,29.9,7.5
AB-2026-11672,2026-05-28,Eigener Shop,K-12362,Vorkasse,TEE-OVS-S-OLI,T-Shirt Oversized,S,Oliv,1,34.9,34.9,9.0
AB-2026-11672,2026-05-28,Eigener Shop,K-12362,Vorkasse,KLEID-PR-M-OLI,Sommerkleid Print,M,Oliv,1,79.9,79.9,24.0
AB-2026-11673,2026-02-13,Eigener Shop,K-16504,Vorkasse,JOG-CL-L-NAV,Jogger Classic,L,Navy,1,64.9,64.9,19.5
AB-2026-11674,2026-06-24,Amazon,K-12676,PayPal,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,64.9,64.9,19.5
AB-2026-11675,2026-06-03,Eigener Shop,K-17783,Rechnungskauf,HOOD-ZP-XS-WEI,Zip-Hoodie Heavy,XS,Weiss,1,89.9,89.9,28.0
AB-2026-11675,2026-06-03,Eigener Shop,K-17783,Rechnungskauf,KLEID-PR-M-SCH,Sommerkleid Print,M,Schwarz,1,79.9,79.9,24.0
AB-2026-11675,2026-06-03,Eigener Shop,K-17783,Rechnungskauf,CAP-LG-S-SCH,Cap Logo,S,Schwarz,1,24.9,24.9,6.0
AB-2026-11676,2026-04-12,Zalando,K-14257,Rechnungskauf,TEE-OVS-XS-SCH,T-Shirt Oversized,XS,Schwarz,1,34.9,34.9,9.0
AB-2026-11677,2026-02-15,Amazon,K-11445,Kreditkarte,TEE-BAS-L-NAV,T-Shirt Basic,L,Navy,1,29.9,29.9,7.5
AB-2026-11678,2026-06-19,Amazon,K-17066,Kreditkarte,HOOD-CL-XL-SCH,Hoodie Classic,XL,Schwarz,1,69.9,69.9,21.0
AB-2026-11678,2026-06-19,Amazon,K-17066,Kreditkarte,HOOD-CL-L-SCH,Hoodie Classic,L,Schwarz,1,69.9,69.9,21.0
AB-2026-11679,2026-04-23,Amazon,K-15129,Kreditkarte,TEE-OVS-XL-WEI,T-Shirt Oversized,XL,Weiss,1,34.9,34.9,9.0
AB-2026-11679,2026-04-23,Amazon,K-15129,Kreditkarte,KLEID-PR-S-SCH,Sommerkleid Print,S,Schwarz,1,79.9,79.9,24.0
AB-2026-11679,2026-04-23,Amazon,K-15129,Kreditkarte,TEE-OVS-XL-SCH,T-Shirt Oversized,XL,Schwarz,1,34.9,34.9,9.0
AB-2026-11680,2026-02-27,Amazon,K-15977,Kreditkarte,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,69.9,69.9,21.0
AB-2026-11681,2026-01-11,Zalando,K-15619,Kreditkarte,JOG-CL-M-NAV,Jogger Classic,M,Navy,1,64.9,64.9,19.5
AB-2026-11682,2026-04-05,Eigener Shop,K-18057,Rechnungskauf,TEE-BAS-L-OLI,T-Shirt Basic,L,Oliv,1,29.9,29.9,7.5
AB-2026-11683,2026-05-31,Eigener Shop,K-19202,PayPal,HOOD-CL-L-OLI,Hoodie Classic,L,Oliv,1,69.9,69.9,21.0
AB-2026-11684,2026-02-17,Eigener Shop,K-12096,PayPal,CAP-LG-L-SCH,Cap Logo,L,Schwarz,1,24.9,24.9,6.0
AB-2026-11685,2026-02-19,Eigener Shop,K-12858,PayPal,HOOD-ZP-S-NAV,Zip-Hoodie Heavy,S,Navy,1,89.9,89.9,28.0
AB-2026-11685,2026-02-19,Eigener Shop,K-12858,PayPal,HOOD-CL-XL-WEI,Hoodie Classic,XL,Weiss,1,69.9,69.9,21.0
AB-2026-11686,2026-05-24,Amazon,K-17287,Vorkasse,JOG-CL-XL-SCH,Jogger Classic,XL,Schwarz,1,64.9,64.9,19.5
AB-2026-11687,2026-05-02,Eigener Shop,K-12698,PayPal,TEE-BAS-XL-WEI,T-Shirt Basic,XL,Weiss,1,29.9,29.9,7.5
AB-2026-11688,2026-03-23,Eigener Shop,K-16608,Kreditkarte,SOCK-3P-XL-WEI,Sneaker Socken 3er-Pack,XL,Weiss,1,19.9,19.9,4.8
AB-2026-11689,2026-03-30,Eigener Shop,K-11259,Rechnungskauf,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,34.9,34.9,9.0
