return_number,return_date,status,progress,sales_order_number,channel,customer_number,payment_method,product_number,product_name,variant_size,variant_color,quantity_returned,return_reason,return_reason_category,refund_amount,return_type
RT-2026-4531,2026-07-20,freigegeben,eingegangen,AB-2026-11343,Eigener Shop,K-19547,Kreditkarte,JOG-CL-M-WEI,Jogger Classic,M,Weiss,1,Zu spaet geliefert,Gutschrift,64.9,kundenretoure
RT-2026-4532,2026-03-25,freigegeben,eingegangen,AB-2026-11347,Eigener Shop,K-15424,Rechnungskauf,TEE-BAS-M-SCH,T-Shirt Basic,M,Schwarz,1,Nicht mehr benoetigt,Gutschrift,29.9,kundenretoure
RT-2026-4533,2026-03-31,freigegeben,eingegangen,AB-2026-11349,Eigener Shop,K-12578,Rechnungskauf,KLEID-PR-XL-WEI,Sommerkleid Print,XL,Weiss,1,Gefaellt nicht,Gutschrift,79.9,kundenretoure
RT-2026-4534,2026-03-05,freigegeben,eingegangen,AB-2026-11356,Zalando,K-13140,Rechnungskauf,KLEID-PR-L-SCH,Sommerkleid Print,L,Schwarz,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4535,2026-07-16,freigegeben,eingegangen,AB-2026-11357,Eigener Shop,K-15944,PayPal,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4536,2026-04-19,freigegeben,eingegangen,AB-2026-11362,Eigener Shop,K-18080,PayPal,TEE-OVS-L-NAV,T-Shirt Oversized,L,Navy,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4537,2026-03-30,freigegeben,eingegangen,AB-2026-11364,Eigener Shop,K-10393,Vorkasse,KLEID-PR-M-SCH,Sommerkleid Print,M,Schwarz,1,Gefaellt nicht,Gutschrift,79.9,kundenretoure
RT-2026-4538,2026-05-09,freigegeben,eingegangen,AB-2026-11365,Amazon,K-15395,Kreditkarte,JOG-CL-S-OLI,Jogger Classic,S,Oliv,1,Zu gross,Gutschrift,64.9,kundenretoure
RT-2026-4539,2026-06-29,freigegeben,eingegangen,AB-2026-11376,Eigener Shop,K-14048,Vorkasse,TEE-BAS-XS-WEI,T-Shirt Basic,XS,Weiss,1,Nicht mehr benoetigt,Gutschrift,29.9,kundenretoure
RT-2026-4540,2026-07-05,freigegeben,eingegangen,AB-2026-11392,Zalando,K-19479,PayPal,KLEID-PR-XL-WEI,Sommerkleid Print,XL,Weiss,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4541,2026-02-27,freigegeben,eingegangen,AB-2026-11402,Eigener Shop,K-10888,PayPal,TEE-OVS-S-SCH,T-Shirt Oversized,S,Schwarz,1,Entspricht nicht dem Foto,Gutschrift,34.9,kundenretoure
RT-2026-4542,2026-02-18,freigegeben,eingegangen,AB-2026-11404,Eigener Shop,K-13642,PayPal,HOOD-CL-S-SCH,Hoodie Classic,S,Schwarz,1,Gefaellt nicht,Gutschrift,69.9,kundenretoure
RT-2026-4543,2026-06-16,freigegeben,eingegangen,AB-2026-11405,Eigener Shop,K-17917,Rechnungskauf,HOOD-CL-S-WEI,Hoodie Classic,S,Weiss,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4544,2026-05-16,freigegeben,eingegangen,AB-2026-11409,Eigener Shop,K-16496,PayPal,TEE-OVS-L-SCH,T-Shirt Oversized,L,Schwarz,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4545,2026-05-04,freigegeben,eingegangen,AB-2026-11410,Eigener Shop,K-17393,PayPal,HOOD-CL-S-NAV,Hoodie Classic,S,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4546,2026-05-04,freigegeben,eingegangen,AB-2026-11414,Eigener Shop,K-12182,Kreditkarte,JOG-CL-XL-NAV,Jogger Classic,XL,Navy,1,Zu klein,Gutschrift,64.9,kundenretoure
RT-2026-4547,2026-03-05,freigegeben,eingegangen,AB-2026-11415,Eigener Shop,K-15467,PayPal,TEE-BAS-XS-NAV,T-Shirt Basic,XS,Navy,1,Zu gross,Gutschrift,29.9,kundenretoure
RT-2026-4548,2026-02-02,freigegeben,eingegangen,AB-2026-11418,Zalando,K-12376,Vorkasse,KLEID-PR-XS-NAV,Sommerkleid Print,XS,Navy,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4549,2026-03-16,freigegeben,eingegangen,AB-2026-11419,Zalando,K-11697,Rechnungskauf,TEE-BAS-S-WEI,T-Shirt Basic,S,Weiss,1,Zu gross,Gutschrift,29.9,kundenretoure
RT-2026-4550,2026-05-11,freigegeben,eingegangen,AB-2026-11422,Zalando,K-16885,Kreditkarte,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,Falscher Artikel,Ersatzlieferung,69.9,kundenretoure
RT-2026-4551,2026-02-25,freigegeben,eingegangen,AB-2026-11427,Eigener Shop,K-16274,Vorkasse,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,Nicht mehr benoetigt,Gutschrift,64.9,kundenretoure
RT-2026-4552,2026-03-31,freigegeben,eingegangen,AB-2026-11431,Eigener Shop,K-11317,Vorkasse,KLEID-PR-XL-WEI,Sommerkleid Print,XL,Weiss,1,Mangelhafte Qualitaet,Gutschrift,79.9,kundenretoure
RT-2026-4553,2026-04-08,freigegeben,eingegangen,AB-2026-11438,Eigener Shop,K-13818,Kreditkarte,HOOD-CL-XS-NAV,Hoodie Classic,XS,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4554,2026-05-10,freigegeben,eingegangen,AB-2026-11438,Eigener Shop,K-13818,Kreditkarte,TEE-BAS-L-NAV,T-Shirt Basic,L,Navy,1,Nicht mehr benoetigt,Gutschrift,29.9,kundenretoure
RT-2026-4555,2026-02-19,freigegeben,eingegangen,AB-2026-11443,Amazon,K-12925,Vorkasse,JOG-CL-XL-WEI,Jogger Classic,XL,Weiss,1,Nicht mehr benoetigt,Gutschrift,64.9,kundenretoure
RT-2026-4556,2026-05-21,freigegeben,eingegangen,AB-2026-11445,Amazon,K-14508,Rechnungskauf,KLEID-PR-XS-SCH,Sommerkleid Print,XS,Schwarz,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4557,2026-07-14,freigegeben,eingegangen,AB-2026-11446,Eigener Shop,K-10268,PayPal,TEE-BAS-M-SCH,T-Shirt Basic,M,Schwarz,1,Zu klein,Gutschrift,29.9,kundenretoure
RT-2026-4558,2026-06-11,freigegeben,eingegangen,AB-2026-11449,Amazon,K-12592,Vorkasse,HOOD-ZP-XS-NAV,Zip-Hoodie Heavy,XS,Navy,1,,Sonstiges,89.9,nicht_abgeholt
RT-2026-4559,2026-04-09,freigegeben,eingegangen,AB-2026-11453,Amazon,K-12489,PayPal,JOG-CL-M-NAV,Jogger Classic,M,Navy,1,Gefaellt nicht,Gutschrift,64.9,kundenretoure
RT-2026-4560,2026-01-27,freigegeben,eingegangen,AB-2026-11455,Eigener Shop,K-16459,PayPal,HOOD-CL-M-SCH,Hoodie Classic,M,Schwarz,1,Zu gross,Gutschrift,69.9,kundenretoure
RT-2026-4561,2026-05-20,freigegeben,eingegangen,AB-2026-11458,Amazon,K-16715,Vorkasse,TEE-OVS-M-OLI,T-Shirt Oversized,M,Oliv,1,Beschaedigt angekommen,Ersatzlieferung,34.9,kundenretoure
RT-2026-4562,2026-02-22,freigegeben,eingegangen,AB-2026-11459,Eigener Shop,K-13836,Vorkasse,HOOD-ZP-M-OLI,Zip-Hoodie Heavy,M,Oliv,1,Nicht mehr benoetigt,Gutschrift,89.9,kundenretoure
RT-2026-4563,2026-06-29,freigegeben,eingegangen,AB-2026-11461,Eigener Shop,K-15882,Rechnungskauf,HOOD-CL-XL-OLI,Hoodie Classic,XL,Oliv,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4564,2026-03-01,freigegeben,eingegangen,AB-2026-11464,Eigener Shop,K-14607,PayPal,JOG-CL-M-NAV,Jogger Classic,M,Navy,1,Nicht mehr benoetigt,Gutschrift,64.9,kundenretoure
RT-2026-4565,2026-05-09,freigegeben,eingegangen,AB-2026-11465,Eigener Shop,K-13236,Rechnungskauf,HOOD-CL-L-WEI,Hoodie Classic,L,Weiss,1,Gefaellt nicht,Gutschrift,69.9,kundenretoure
RT-2026-4566,2026-02-26,freigegeben,eingegangen,AB-2026-11472,Eigener Shop,K-16537,PayPal,TEE-BAS-S-WEI,T-Shirt Basic,S,Weiss,1,Zu spaet geliefert,Gutschrift,29.9,kundenretoure
RT-2026-4567,2026-01-28,freigegeben,eingegangen,AB-2026-11475,Eigener Shop,K-17620,Rechnungskauf,HOOD-CL-M-SCH,Hoodie Classic,M,Schwarz,1,,Sonstiges,69.9,nicht_abgeholt
RT-2026-4568,2026-05-27,freigegeben,eingegangen,AB-2026-11477,Eigener Shop,K-17138,PayPal,TEE-OVS-XS-WEI,T-Shirt Oversized,XS,Weiss,1,Mangelhafte Qualitaet,Gutschrift,34.9,kundenretoure
RT-2026-4569,2026-05-03,freigegeben,eingegangen,AB-2026-11479,Eigener Shop,K-10361,Kreditkarte,HOOD-CL-XL-SCH,Hoodie Classic,XL,Schwarz,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4570,2026-06-20,freigegeben,eingegangen,AB-2026-11484,Eigener Shop,K-10904,PayPal,KLEID-PR-XL-SCH,Sommerkleid Print,XL,Schwarz,1,Zu klein,Gutschrift,79.9,kundenretoure
RT-2026-4571,2026-04-16,freigegeben,eingegangen,AB-2026-11491,Amazon,K-15470,Rechnungskauf,TEE-BAS-M-WEI,T-Shirt Basic,M,Weiss,1,,Sonstiges,29.9,nicht_abgeholt
RT-2026-4572,2026-03-13,freigegeben,eingegangen,AB-2026-11496,Eigener Shop,K-14598,PayPal,JOG-CL-XS-WEI,Jogger Classic,XS,Weiss,1,Nicht mehr benoetigt,Gutschrift,64.9,kundenretoure
RT-2026-4573,2026-08-03,freigegeben,eingegangen,AB-2026-11506,Amazon,K-11843,Kreditkarte,CAP-LG-XS-NAV,Cap Logo,XS,Navy,1,Zu gross,Gutschrift,24.9,kundenretoure
RT-2026-4574,2026-04-09,freigegeben,eingegangen,AB-2026-11510,Amazon,K-17011,Kreditkarte,KLEID-PR-XL-NAV,Sommerkleid Print,XL,Navy,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4575,2026-01-10,freigegeben,eingegangen,AB-2026-11514,Eigener Shop,K-19131,PayPal,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4576,2026-06-21,freigegeben,eingegangen,AB-2026-11516,Eigener Shop,K-15061,PayPal,HOOD-ZP-M-WEI,Zip-Hoodie Heavy,M,Weiss,1,Gefaellt nicht,Gutschrift,89.9,kundenretoure
RT-2026-4577,2026-07-21,freigegeben,eingegangen,AB-2026-11519,Eigener Shop,K-15668,Rechnungskauf,JOG-CL-S-WEI,Jogger Classic,S,Weiss,1,Zu gross,Gutschrift,64.9,kundenretoure
RT-2026-4578,2026-06-30,freigegeben,eingegangen,AB-2026-11524,Zalando,K-17251,Kreditkarte,KLEID-PR-XL-OLI,Sommerkleid Print,XL,Oliv,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4579,2026-06-26,freigegeben,eingegangen,AB-2026-11527,Zalando,K-14092,PayPal,HOOD-CL-S-WEI,Hoodie Classic,S,Weiss,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4580,2026-02-26,freigegeben,eingegangen,AB-2026-11539,Eigener Shop,K-15225,Rechnungskauf,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,Gefaellt nicht,Gutschrift,19.9,kundenretoure
RT-2026-4581,2026-01-18,freigegeben,eingegangen,AB-2026-11546,Eigener Shop,K-17146,PayPal,SOCK-3P-XL-NAV,Sneaker Socken 3er-Pack,XL,Navy,1,Mangelhafte Qualitaet,Gutschrift,19.9,kundenretoure
RT-2026-4582,2026-05-29,freigegeben,eingegangen,AB-2026-11558,Amazon,K-11004,PayPal,HOOD-ZP-XS-WEI,Zip-Hoodie Heavy,XS,Weiss,1,,Sonstiges,89.9,nicht_abgeholt
RT-2026-4582,2026-05-29,freigegeben,eingegangen,AB-2026-11558,Amazon,K-11004,PayPal,KLEID-PR-XS-NAV,Sommerkleid Print,XS,Navy,1,,Sonstiges,79.9,nicht_abgeholt
RT-2026-4583,2026-06-14,freigegeben,eingegangen,AB-2026-11559,Eigener Shop,K-11189,PayPal,HOOD-CL-XS-NAV,Hoodie Classic,XS,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4584,2026-07-22,freigegeben,eingegangen,AB-2026-11560,Zalando,K-15676,Vorkasse,HOOD-CL-XL-WEI,Hoodie Classic,XL,Weiss,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4585,2026-03-18,freigegeben,eingegangen,AB-2026-11564,Eigener Shop,K-10442,Rechnungskauf,TEE-OVS-S-SCH,T-Shirt Oversized,S,Schwarz,1,Zu klein,Gutschrift,34.9,kundenretoure
RT-2026-4586,2026-04-06,freigegeben,eingegangen,AB-2026-11564,Eigener Shop,K-10442,Rechnungskauf,TEE-OVS-L-SCH,T-Shirt Oversized,L,Schwarz,1,Falscher Artikel,Ersatzlieferung,34.9,kundenretoure
RT-2026-4587,2026-07-08,freigegeben,eingegangen,AB-2026-11566,Eigener Shop,K-14796,PayPal,TEE-BAS-XL-NAV,T-Shirt Basic,XL,Navy,1,Entspricht nicht dem Foto,Gutschrift,29.9,kundenretoure
RT-2026-4588,2026-02-07,freigegeben,eingegangen,AB-2026-11568,Eigener Shop,K-16010,Kreditkarte,KLEID-PR-XL-NAV,Sommerkleid Print,XL,Navy,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4589,2026-05-02,freigegeben,eingegangen,AB-2026-11571,Eigener Shop,K-19511,PayPal,HOOD-CL-XS-SCH,Hoodie Classic,XS,Schwarz,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4590,2026-01-20,freigegeben,eingegangen,AB-2026-11573,Eigener Shop,K-13011,Rechnungskauf,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,Gefaellt nicht,Gutschrift,19.9,kundenretoure
RT-2026-4591,2026-03-31,freigegeben,eingegangen,AB-2026-11576,Eigener Shop,K-17375,PayPal,TEE-OVS-XS-NAV,T-Shirt Oversized,XS,Navy,1,Zu spaet geliefert,Gutschrift,34.9,kundenretoure
RT-2026-4592,2026-03-15,freigegeben,eingegangen,AB-2026-11578,Eigener Shop,K-17295,Rechnungskauf,JOG-CL-XL-OLI,Jogger Classic,XL,Oliv,1,,Sonstiges,64.9,nicht_abgeholt
RT-2026-4592,2026-03-15,freigegeben,eingegangen,AB-2026-11578,Eigener Shop,K-17295,Rechnungskauf,HOOD-ZP-XL-NAV,Zip-Hoodie Heavy,XL,Navy,1,,Sonstiges,89.9,nicht_abgeholt
RT-2026-4593,2026-02-07,freigegeben,eingegangen,AB-2026-11579,Eigener Shop,K-16000,Vorkasse,HOOD-ZP-XS-SCH,Zip-Hoodie Heavy,XS,Schwarz,1,Beschaedigt angekommen,Ersatzlieferung,89.9,kundenretoure
RT-2026-4594,2026-03-28,freigegeben,eingegangen,AB-2026-11585,Zalando,K-12227,Rechnungskauf,KLEID-PR-XL-WEI,Sommerkleid Print,XL,Weiss,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4595,2026-03-03,freigegeben,eingegangen,AB-2026-11593,Eigener Shop,K-19868,PayPal,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4596,2026-02-17,freigegeben,eingegangen,AB-2026-11595,Amazon,K-13685,Kreditkarte,HOOD-CL-L-SCH,Hoodie Classic,L,Schwarz,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4597,2026-04-25,freigegeben,eingegangen,AB-2026-11597,Eigener Shop,K-17277,Rechnungskauf,TEE-BAS-L-NAV,T-Shirt Basic,L,Navy,1,Zu gross,Gutschrift,29.9,kundenretoure
RT-2026-4598,2026-02-20,freigegeben,eingegangen,AB-2026-11600,Eigener Shop,K-10337,PayPal,HOOD-CL-XS-SCH,Hoodie Classic,XS,Schwarz,1,Gefaellt nicht,Gutschrift,69.9,kundenretoure
RT-2026-4599,2026-03-21,freigegeben,eingegangen,AB-2026-11603,Zalando,K-14678,PayPal,SOCK-3P-M-OLI,Sneaker Socken 3er-Pack,M,Oliv,1,Beschaedigt angekommen,Ersatzlieferung,19.9,kundenretoure
RT-2026-4600,2026-04-16,freigegeben,eingegangen,AB-2026-11607,Eigener Shop,K-17306,PayPal,TEE-OVS-XS-SCH,T-Shirt Oversized,XS,Schwarz,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4601,2026-01-12,freigegeben,eingegangen,AB-2026-11612,Eigener Shop,K-13052,Rechnungskauf,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4602,2026-04-07,freigegeben,eingegangen,AB-2026-11614,Amazon,K-19508,Kreditkarte,KLEID-PR-L-SCH,Sommerkleid Print,L,Schwarz,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4603,2026-02-19,freigegeben,eingegangen,AB-2026-11615,Eigener Shop,K-13007,Rechnungskauf,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4604,2026-07-06,freigegeben,eingegangen,AB-2026-11616,Amazon,K-14230,Rechnungskauf,TEE-OVS-S-SCH,T-Shirt Oversized,S,Schwarz,1,,Sonstiges,34.9,nicht_abgeholt
RT-2026-4604,2026-07-06,freigegeben,eingegangen,AB-2026-11616,Amazon,K-14230,Rechnungskauf,TEE-OVS-XL-SCH,T-Shirt Oversized,XL,Schwarz,1,,Sonstiges,34.9,nicht_abgeholt
RT-2026-4604,2026-07-06,freigegeben,eingegangen,AB-2026-11616,Amazon,K-14230,Rechnungskauf,HOOD-CL-XS-OLI,Hoodie Classic,XS,Oliv,1,,Sonstiges,69.9,nicht_abgeholt
RT-2026-4605,2026-06-14,freigegeben,eingegangen,AB-2026-11619,Eigener Shop,K-17409,PayPal,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4606,2026-06-27,freigegeben,eingegangen,AB-2026-11621,Eigener Shop,K-19760,Kreditkarte,CAP-LG-XL-WEI,Cap Logo,XL,Weiss,1,Zu gross,Gutschrift,24.9,kundenretoure
RT-2026-4607,2026-02-02,freigegeben,eingegangen,AB-2026-11624,Amazon,K-17896,PayPal,TEE-OVS-XL-OLI,T-Shirt Oversized,XL,Oliv,1,Nicht mehr benoetigt,Gutschrift,34.9,kundenretoure
RT-2026-4608,2026-02-07,freigegeben,eingegangen,AB-2026-11627,Amazon,K-19846,PayPal,KLEID-PR-XL-SCH,Sommerkleid Print,XL,Schwarz,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4609,2026-06-10,freigegeben,eingegangen,AB-2026-11629,Eigener Shop,K-13845,PayPal,SOCK-3P-XL-WEI,Sneaker Socken 3er-Pack,XL,Weiss,1,Falscher Artikel,Ersatzlieferung,19.9,kundenretoure
RT-2026-4610,2026-05-31,freigegeben,eingegangen,AB-2026-11634,Zalando,K-16318,PayPal,SOCK-3P-M-SCH,Sneaker Socken 3er-Pack,M,Schwarz,1,,Sonstiges,19.9,nicht_abgeholt
RT-2026-4610,2026-05-31,freigegeben,eingegangen,AB-2026-11634,Zalando,K-16318,PayPal,KLEID-PR-XS-SCH,Sommerkleid Print,XS,Schwarz,1,,Sonstiges,79.9,nicht_abgeholt
RT-2026-4611,2026-06-24,freigegeben,eingegangen,AB-2026-11644,Amazon,K-13570,PayPal,HOOD-CL-M-OLI,Hoodie Classic,M,Oliv,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4612,2026-02-13,freigegeben,eingegangen,AB-2026-11646,Eigener Shop,K-14394,Kreditkarte,JOG-CL-XS-NAV,Jogger Classic,XS,Navy,1,Zu gross,Gutschrift,64.9,kundenretoure
RT-2026-4613,2026-04-17,freigegeben,eingegangen,AB-2026-11650,Eigener Shop,K-15831,Kreditkarte,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,,Sonstiges,64.9,nicht_abgeholt
RT-2026-4613,2026-04-17,freigegeben,eingegangen,AB-2026-11650,Eigener Shop,K-15831,Kreditkarte,CAP-LG-L-SCH,Cap Logo,L,Schwarz,1,,Sonstiges,24.9,nicht_abgeholt
RT-2026-4614,2026-03-18,freigegeben,eingegangen,AB-2026-11660,Eigener Shop,K-12189,PayPal,TEE-OVS-XL-NAV,T-Shirt Oversized,XL,Navy,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4615,2026-02-09,freigegeben,eingegangen,AB-2026-11663,Zalando,K-17253,Rechnungskauf,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4616,2026-07-27,freigegeben,eingegangen,AB-2026-11667,Eigener Shop,K-11227,Rechnungskauf,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,Gefaellt nicht,Gutschrift,64.9,kundenretoure
RT-2026-4617,2026-04-07,freigegeben,eingegangen,AB-2026-11680,Amazon,K-15977,Kreditkarte,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4618,2026-06-18,freigegeben,eingegangen,AB-2026-11683,Eigener Shop,K-19202,PayPal,HOOD-CL-L-OLI,Hoodie Classic,L,Oliv,1,Entspricht nicht dem Foto,Gutschrift,69.9,kundenretoure
RT-2026-4619,2026-06-07,freigegeben,eingegangen,AB-2026-11687,Eigener Shop,K-12698,PayPal,TEE-BAS-XL-WEI,T-Shirt Basic,XL,Weiss,1,Zu klein,Gutschrift,29.9,kundenretoure
RT-2026-4620,2026-04-20,freigegeben,eingegangen,AB-2026-11691,Eigener Shop,K-17661,Kreditkarte,TEE-BAS-XL-NAV,T-Shirt Basic,XL,Navy,1,Entspricht nicht dem Foto,Gutschrift,29.9,kundenretoure
RT-2026-4621,2026-05-06,freigegeben,eingegangen,AB-2026-11696,Eigener Shop,K-17329,Kreditkarte,CAP-LG-XL-OLI,Cap Logo,XL,Oliv,1,,Sonstiges,24.9,nicht_abgeholt
RT-2026-4622,2026-06-19,freigegeben,eingegangen,AB-2026-11702,Eigener Shop,K-10179,PayPal,TEE-OVS-M-OLI,T-Shirt Oversized,M,Oliv,1,Beschaedigt angekommen,Ersatzlieferung,34.9,kundenretoure
RT-2026-4623,2026-07-28,freigegeben,eingegangen,AB-2026-11705,Amazon,K-18899,Vorkasse,TEE-BAS-XS-SCH,T-Shirt Basic,XS,Schwarz,1,Mangelhafte Qualitaet,Gutschrift,29.9,kundenretoure
RT-2026-4624,2026-05-31,freigegeben,eingegangen,AB-2026-11706,Zalando,K-17282,Kreditkarte,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,Gefaellt nicht,Gutschrift,79.9,kundenretoure
RT-2026-4625,2026-02-19,freigegeben,eingegangen,AB-2026-11713,Eigener Shop,K-11667,PayPal,KLEID-PR-XS-WEI,Sommerkleid Print,XS,Weiss,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4626,2026-03-18,freigegeben,eingegangen,AB-2026-11719,Eigener Shop,K-15989,Kreditkarte,TEE-OVS-L-OLI,T-Shirt Oversized,L,Oliv,1,Zu klein,Gutschrift,34.9,kundenretoure
RT-2026-4627,2026-04-29,freigegeben,eingegangen,AB-2026-11723,Amazon,K-10706,Kreditkarte,TEE-BAS-XL-WEI,T-Shirt Basic,XL,Weiss,1,Nicht mehr benoetigt,Gutschrift,29.9,kundenretoure
RT-2026-4628,2026-05-09,freigegeben,eingegangen,AB-2026-11724,Eigener Shop,K-10442,PayPal,CAP-LG-S-OLI,Cap Logo,S,Oliv,1,Zu klein,Gutschrift,24.9,kundenretoure
RT-2026-4629,2026-04-30,freigegeben,eingegangen,AB-2026-11724,Eigener Shop,K-10442,PayPal,CAP-LG-M-OLI,Cap Logo,M,Oliv,1,Gefaellt nicht,Gutschrift,24.9,kundenretoure
RT-2026-4630,2026-05-10,freigegeben,eingegangen,AB-2026-11724,Eigener Shop,K-10442,PayPal,JOG-CL-XS-OLI,Jogger Classic,XS,Oliv,1,Beschaedigt angekommen,Ersatzlieferung,64.9,kundenretoure
RT-2026-4631,2026-04-25,freigegeben,eingegangen,AB-2026-11724,Eigener Shop,K-10442,PayPal,JOG-CL-M-OLI,Jogger Classic,M,Oliv,1,Gefaellt nicht,Gutschrift,64.9,kundenretoure
RT-2026-4632,2026-05-18,freigegeben,eingegangen,AB-2026-11724,Eigener Shop,K-10442,PayPal,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4633,2026-05-14,freigegeben,eingegangen,AB-2026-11724,Eigener Shop,K-10442,PayPal,HOOD-CL-M-NAV,Hoodie Classic,M,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4634,2026-07-17,freigegeben,eingegangen,AB-2026-11725,Eigener Shop,K-19358,Kreditkarte,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4635,2026-04-09,freigegeben,eingegangen,AB-2026-11726,Amazon,K-13479,PayPal,HOOD-ZP-S-NAV,Zip-Hoodie Heavy,S,Navy,1,Entspricht nicht dem Foto,Gutschrift,89.9,kundenretoure
RT-2026-4636,2026-03-26,freigegeben,eingegangen,AB-2026-11727,Amazon,K-11683,PayPal,TEE-BAS-XS-SCH,T-Shirt Basic,XS,Schwarz,1,Zu spaet geliefert,Gutschrift,29.9,kundenretoure
RT-2026-4637,2026-02-23,freigegeben,eingegangen,AB-2026-11732,Eigener Shop,K-14480,Rechnungskauf,TEE-OVS-XL-OLI,T-Shirt Oversized,XL,Oliv,1,,Sonstiges,34.9,nicht_abgeholt
RT-2026-4638,2026-01-23,freigegeben,eingegangen,AB-2026-11733,Amazon,K-11899,PayPal,HOOD-CL-XL-WEI,Hoodie Classic,XL,Weiss,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4639,2026-06-15,freigegeben,eingegangen,AB-2026-11738,Eigener Shop,K-18464,Rechnungskauf,HOOD-ZP-XL-OLI,Zip-Hoodie Heavy,XL,Oliv,1,Gefaellt nicht,Gutschrift,89.9,kundenretoure
RT-2026-4640,2026-04-11,freigegeben,eingegangen,AB-2026-11740,Eigener Shop,K-18742,PayPal,CAP-LG-L-SCH,Cap Logo,L,Schwarz,1,Gefaellt nicht,Gutschrift,24.9,kundenretoure
RT-2026-4641,2026-06-21,freigegeben,eingegangen,AB-2026-11741,Zalando,K-15071,Vorkasse,HOOD-CL-S-NAV,Hoodie Classic,S,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4642,2026-05-30,freigegeben,eingegangen,AB-2026-11744,Zalando,K-10763,Kreditkarte,JOG-CL-XL-OLI,Jogger Classic,XL,Oliv,1,Gefaellt nicht,Gutschrift,64.9,kundenretoure
RT-2026-4643,2026-05-23,freigegeben,eingegangen,AB-2026-11750,Eigener Shop,K-18128,Rechnungskauf,SOCK-3P-S-NAV,Sneaker Socken 3er-Pack,S,Navy,1,Zu klein,Gutschrift,19.9,kundenretoure
